Source	Target	weight
adhR	group_813	6.71778e-09
adhR	group_2327	6.71778e-09
adhR	group_1940	2.5027e-09
adhR	group_1984	6.16047e-11
adhR	group_1106	6.71778e-09
adhR	group_2272	6.71778e-09
adhR	group_1309	4.40913e-09
adhR	group_387	2.65401e-10
adhR	group_2581	1.73354e-11
adhR	group_2016	1.73354e-11
adhR	group_1981	1.73354e-11
adhR	group_2008	1.73354e-11
adhR	group_2334	1.73354e-11
adhR	group_2410	1.73354e-11
adhR	aroB~~~aroB_2	1.73354e-11
adhR	group_792	1.73354e-11
adhR	group_2335	1.73354e-11
adhR	group_914	4.40913e-09
agrA~~~dpiB	agrB_2~~~agrB_1~~~agrB	1.10813e-20
agrA~~~dpiB	group_2251	1.28536e-10
agrB_2~~~agrB_1~~~agrB	group_2444	3.29385e-10
agrB_2~~~agrB_1~~~agrB	ydhC~~~ymfD	1.63451e-09
agrB_2~~~agrB_1~~~agrB	zitR~~~sarZ_2~~~sarZ_1	5.64833e-09
agrB_2~~~agrB_1~~~agrB	agrB~~~agrB_1~~~agrB_2~~~agrB_3	4.65727e-11
agrB_2~~~agrB~~~agrB_1	azo1~~~azo1_1~~~azo1_2	4.05725e-10
agrB_2~~~agrB~~~agrB_1	group_1238	4.05725e-10
agrB_2~~~agrB~~~agrB_1	ktrB_2~~~ktrB_3~~~ktrB_1~~~ktrB	9.61225e-11
agrB_2~~~agrB~~~agrB_1	yefM	4.40913e-09
agrB~~~agrB_1~~~agrB_2~~~agrB_3	group_2300	7.50112e-10
aldC_2~~~aldC_1~~~aldC_3	bglA_1~~~bglA~~~bglA_2	3.27776e-10
aldC_2~~~aldC_1~~~aldC_3	group_726	1.14067e-12
aldC_2~~~aldC_1~~~aldC_3	narX	3.57327e-13
aldC_2~~~aldC_1~~~aldC_3	group_2613	3.81363e-10
aldC_2~~~aldC_1~~~aldC_3	group_343	5.73212e-09
aldC_3~~~aldC_1~~~aldC_2	trpG_1~~~trpG_3~~~trpG_2~~~pabA	6.84111e-09
aldC_3~~~aldC_1~~~aldC_2	yhfT_1~~~yhfT~~~menE_1~~~menE~~~menE_2~~~yhfT_2	6.84111e-09
aldC_3~~~aldC_1~~~aldC_2	sarT~~~sarT_1	2.58907e-09
aldC_3~~~aldC_1~~~aldC_2	desK~~~desK_2~~~uhpB	6.84111e-09
aldC_3~~~aldC_1~~~aldC_2	sarU~~~sarU_1~~~sarU_2	9.44174e-10
aldC_3~~~aldC_1~~~aldC_2	group_1582	1.39433e-09
aldC_3~~~aldC_1~~~aldC_2	tst_1~~~tst_2~~~tst_3	2.58907e-09
aldC_3~~~aldC_1~~~aldC_2	cls_1~~~cls_2~~~clsA~~~cls_3	1.39433e-09
aldC_3~~~aldC_1~~~aldC_2	group_2563	2.61124e-09
aldC_3~~~aldC_1~~~aldC_2	group_437	2.58907e-09
aldC_3~~~aldC_1~~~aldC_2	group_2569	2.58907e-09
aldC_3~~~aldC_1~~~aldC_2	group_1244	1.11543e-10
aldC_3~~~aldC_1~~~aldC_2	fosB	6.02683e-14
aldC_3~~~aldC_1~~~aldC_2	group_2519	1.11543e-10
aldC_3~~~aldC_1~~~aldC_2	tipA~~~mta~~~mta_1	3.26246e-12
aldC_3~~~aldC_1~~~aldC_2	nirC~~~nirC_2	9.11545e-13
aldC_3~~~aldC_1~~~aldC_2	traP	9.11545e-13
aldC_3~~~aldC_1~~~aldC_2	group_2600	2.19472e-11
aldC_3~~~aldC_1~~~aldC_2	rnhA~~~rnhA_2	9.11545e-13
aldC_3~~~aldC_1~~~aldC_2	speH_2~~~speC_3	3.24304e-09
aldC_3~~~aldC_1~~~aldC_2	group_188	6.02683e-14
aldC_3~~~aldC_1~~~aldC_2	group_812	7.63714e-10
aldC_3~~~aldC_1~~~aldC_2	splB~~~splB_2~~~splB_1	4.86254e-10
aldC_3~~~aldC_1~~~aldC_2	lpl2_7~~~lpl2_6~~~lpl2_2~~~lpl2_3~~~lpl2_4~~~lpl2_5	2.57694e-10
aldC_3~~~aldC_1~~~aldC_2	narX~~~narX_2	4.99108e-13
aldC_3~~~aldC_1~~~aldC_2	group_940	1.30065e-11
aldC_3~~~aldC_1~~~aldC_2	group_1998	1.59225e-10
aldC_3~~~aldC_1~~~aldC_2	group_791	5.58108e-11
aldC_3~~~aldC_1~~~aldC_2	bglA_2~~~bglA	3.44058e-10
aldC_3~~~aldC_1~~~aldC_2	lpl2_5~~~lpl2_3~~~lpl2_2~~~lpl2_1~~~lpl2_6~~~lpl2_7~~~lpl2_4~~~lpl2_9	1.14067e-12
appA~~~appA_2~~~appA_1	dppE_2~~~oppA~~~dppE_1~~~ygiS~~~dppE_3	3.93417e-15
appA~~~appA_2~~~appA_1	oppF_2~~~oppF_3~~~oppF_1	3.93417e-15
appA~~~appA_2~~~appA_1	oppD_3~~~oppD_4~~~oppD_5	1.4326e-13
appA~~~appA_2~~~appA_1	oppC_2~~~oppC_1~~~dppC	1.4326e-13
appA~~~appA_2~~~appA_1	oppB_1~~~oppB_2~~~dppB	1.4326e-13
appA~~~appA_2~~~appA_1	group_2500	1.02697e-09
appA~~~appA_2~~~appA_1	group_1922	1.02697e-09
