"rs1","rs2"
4184,7628
6246,5054
6483,6173
7941,2572
5024,5118
7755,7646
6963,9387
3505,8758
2070,9134
4250,4211
4395,765
7760,7647
3779,4034
7755,7099
3834,6171
7628,4184
5785,1685
3908,4298
4648,6776
176,2976
1381,4639
6914,6290
3579,2704
7745,3912
1040,4144
7137,2300
392,3908
3453,8817
1580,2929
4283,972
7714,7090
3726,4056
7964,802
5322,6145
7696,4201
3245,9816
1371,5518
2289,5659
6698,3028
4558,1695
4265,7683
4790,6207
7686,4211
1595,4351
9421,2358
3493,9967
4899,2220
4967,1333
7685,4646
8678,8285
2846,4208
3923,6114
2125,5169
9573,6774
9923,6171
5519,5559
9351,3147
2224,8458
4115,9337
4624,5737
4440,1204
4200,4179
2335,2778
1002,9520
1348,8920
4241,7686
6797,3908
8952,4827
6164,6942
9226,9520
5337,6060
1572,5205
3898,3444
8196,316
8411,6315
7058,7649
6227,6030
628,9118
627,7086
4221,4266
4668,4763
5346,8381
9238,2400
7792,7581
460,353
1080,2905
4043,4743
7913,4743
7720,9220
9101,2612
2794,8895
9399,6289
5707,5717
7856,7856
7116,4209
8121,8081
4022,135
3714,9937
4760,5723
901,217
392,9943
2779,8948
6033,1664
9391,6972
3712,2801
4184,2846
7102,4190
4576,2918
1393,8845
2772,4790
7059,7628
4144,2896
3915,3594
5478,2560
4262,7800
1606,5263
1302,1391
917,3163
2221,584
1674,4124
8277,8174
1072,5643
3489,9359
4338,4856
5821,2361
4190,7062
6604,6723
7122,7130
9484,2897
7685,4043
9923,3714
7668,2848
2625,5667
7666,7689
7712,6722
7811,6299
7697,6160
4711,4704
7703,6713
1301,6079
4992,712
659,3607
7648,7692
1413,2713
6288,9358
3958,5756
8395,8148
388,887
8305,174
4179,7109
6891,3920
9816,6143
4221,4184
1485,1484
2006,4351
685,227
9488,3863
3679,8200
6030,4762
4252,7679
2895,9486
8294,8325
8584,3479
4626,7535
5645,2024
3928,3812
9506,4620
5681,5677
4140,4627
8048,8188
8219,2479
6084,896
2911,9944
9970,9957
1738,6073
2896,4115
8146,5037
1003,2969
1218,6290
4886,5451
2662,1169
7291,3377
5842,8648
6292,9402
4442,5808
