Source	Target	weight
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_2281	8.93356e-24
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_939	1.52776e-22
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_194	1.51846e-23
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_2584	3.05545e-24
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	clpP1_1~~~clpP1~~~clpP_2~~~clpP_3~~~clpP_4~~~clpP_1	2.85856e-23
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_970	2.85856e-23
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_2126	3.54076e-23
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_255	1.12046e-22
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_2127	1.67708e-23
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_1083	1.40399e-24
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_873	8.58331e-12
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_2585	5.91691e-23
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_1428	1.12046e-22
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_559	5.70193e-24
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_978	1.09561e-24
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_281	5.2742e-23
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_1084	2.57533e-24
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_2446	1.29359e-24
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	clpP1	1.26118e-21
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_417	6.46783e-23
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_91	3.70142e-23
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	polA_1~~~polA_2	1.98732e-24
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_2447	1.69668e-21
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_2401	1.42203e-23
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_1358	3.69459e-22
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_220	9.35997e-23
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_572	5.41094e-17
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	smc_3~~~smc_4~~~smc_1	4.08252e-20
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_2356	3.13833e-19
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_1044	2.19137e-16
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_478	1.4831e-14
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_195	3.37421e-19
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_522	5.74634e-17
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_1407	2.82782e-15
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_763	1.31759e-16
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_742	7.87829e-17
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_553	1.48409e-18
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	fib_3~~~fib_2~~~fib_1	9.21842e-08
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_2285	3.76262e-19
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_947	2.07104e-16
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_831	6.02607e-15
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_80	2.6263e-18
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_2438	1.23091e-15
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_603	5.39902e-14
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_418	3.30438e-14
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_867	1.82954e-11
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_874	2.79363e-12
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_1895	5.37608e-12
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_1660	2.5462e-12
IntTn_3~~~xerC_1~~~xerD_1~~~IntTn_1~~~xerC_3~~~IntTn~~~xerD_4~~~IntTn_2~~~xerD_2~~~xerC_2~~~xerD_3	group_1366	8.09963e-09
IntTn~~~IntTn_2~~~intQ~~~xerC_5~~~xerC_2~~~xerC_1~~~IntTn_1~~~IntTn_4~~~IntTn_5~~~xerD_3~~~IntTn_3	group_839	6.65845e-08
IntTn~~~IntTn_2~~~intQ~~~xerC_5~~~xerC_2~~~xerC_1~~~IntTn_1~~~IntTn_4~~~IntTn_5~~~xerD_3~~~IntTn_3	group_272	3.26443e-10
IntTn~~~IntTn_2~~~intQ~~~xerC_5~~~xerC_2~~~xerC_1~~~IntTn_1~~~IntTn_4~~~IntTn_5~~~xerD_3~~~IntTn_3	group_2436	1.67382e-13
IntTn~~~IntTn_2~~~intQ~~~xerC_5~~~xerC_2~~~xerC_1~~~IntTn_1~~~IntTn_4~~~IntTn_5~~~xerD_3~~~IntTn_3	group_2479	3.14692e-13
IntTn~~~IntTn_2~~~intQ~~~xerC_5~~~xerC_2~~~xerC_1~~~IntTn_1~~~IntTn_4~~~IntTn_5~~~xerD_3~~~IntTn_3	group_48	6.58411e-13
IntTn~~~IntTn_2~~~intQ~~~xerC_5~~~xerC_2~~~xerC_1~~~IntTn_1~~~IntTn_4~~~IntTn_5~~~xerD_3~~~IntTn_3	group_1848	3.33724e-10
IntTn~~~IntTn_2~~~intQ~~~xerC_5~~~xerC_2~~~xerC_1~~~IntTn_1~~~IntTn_4~~~IntTn_5~~~xerD_3~~~IntTn_3	group_505	1.77756e-12
IntTn~~~IntTn_2~~~intQ~~~xerC_5~~~xerC_2~~~xerC_1~~~IntTn_1~~~IntTn_4~~~IntTn_5~~~xerD_3~~~IntTn_3	group_2501	5.2865e-12
IntTn~~~IntTn_2~~~intQ~~~xerC_5~~~xerC_2~~~xerC_1~~~IntTn_1~~~IntTn_4~~~IntTn_5~~~xerD_3~~~IntTn_3	group_1079	5.35589e-12
