"pair","score"
"acuI~~~yhfP_2~~~acuI_1group_1007",7.14774e-08
"acuI~~~yhfP_2~~~acuI_1group_1028",8.78798e-11
"acuI~~~yhfP_2~~~acuI_1group_1105",3.31254e-13
"acuI~~~yhfP_2~~~acuI_1group_1204",6.65262e-11
"acuI~~~yhfP_2~~~acuI_1group_158",4.23896e-08
"acuI~~~yhfP_2~~~acuI_1group_1764",1.6009e-08
"acuI~~~yhfP_2~~~acuI_1group_1940",2.66623e-09
"acuI~~~yhfP_2~~~acuI_1group_212",1.47664e-08
"acuI~~~yhfP_2~~~acuI_1group_2327",5.83719e-09
"acuI~~~yhfP_2~~~acuI_1group_256",3.50515e-09
"acuI~~~yhfP_2~~~acuI_1group_2639",2.59716e-08
"acuI~~~yhfP_2~~~acuI_1group_325",5.6322e-09
"acuI~~~yhfP_2~~~acuI_1group_49",7.70407e-09
"acuI~~~yhfP_2~~~acuI_1group_492",2.06224e-09
"acuI~~~yhfP_2~~~acuI_1group_493",2.95948e-10
"acuI~~~yhfP_2~~~acuI_1group_839",1.08153e-10
"acuI~~~yhfP_2~~~acuI_1hin_1~~~hin_2~~~hin~~~hin_3~~~hin_4",1.34506e-11
"acuI~~~yhfP_2~~~acuI_1hin_1~~~tnpR~~~hin_5~~~hin_2~~~hin_3~~~hin_4",8.13127e-12
"acuI~~~yhfP_2~~~acuI_1hsdR~~~hsdR_2~~~hsdR_1~~~mecR1_1~~~mecR1~~~mecR1_2",3.90135e-08
"acuI~~~yhfP_2~~~acuI_1ohrR",1.51884e-40
"acuI~~~yhfP_2~~~acuI_1racA",9.81768e-14
"adhRaroB~~~aroB_1",2.73828e-14
"adhRaroB~~~aroB_2",-1.73354e-11
"adhRaroC~~~aroC_1~~~aroC_2",3.00863e-09
"adhRbglA_1~~~bglA~~~bglA_2",9.38054e-08
"adhRgroup_1025",2.49607e-10
"adhRgroup_1106",-6.71778e-09
"adhRgroup_1309",-4.40913e-09
"adhRgroup_1598",2.50475e-08
"adhRgroup_1668",1.59486e-09
"adhRgroup_1815",1.05639e-07
"adhRgroup_1940",-2.5027e-09
"adhRgroup_1981",-1.73354e-11
"adhRgroup_1984",-6.16047e-11
"adhRgroup_2008",-1.73354e-11
"adhRgroup_2016",-1.73354e-11
"adhRgroup_2272",-6.71778e-09
"adhRgroup_2327",-6.71778e-09
"adhRgroup_2328",7.45049e-11
"adhRgroup_2334",-1.73354e-11
"adhRgroup_2335",-1.73354e-11
"adhRgroup_2388",1.93405e-12
"adhRgroup_241",9.47008e-08
"adhRgroup_2410",-1.73354e-11
"adhRgroup_2444",1.69035e-08
"adhRgroup_2465",8.48315e-08
"adhRgroup_2581",-1.73354e-11
"adhRgroup_387",-2.65401e-10
"adhRgroup_441",1.90098e-12
"adhRgroup_531",1.59486e-09
"adhRgroup_792",-1.73354e-11
"adhRgroup_813",-6.71778e-09
"adhRgroup_84",6.19974e-13
"adhRgroup_89",9.38054e-08
"adhRgroup_901",2.62235e-11
"adhRgroup_914",-4.40913e-09
"adhRydaG~~~ydaG_1~~~ydaG_2",3.21736e-09
"agrA~~~dpiBagrB_2~~~agrB_1~~~agrB",-1.10813e-20
"agrA~~~dpiBagrB~~~agrB_1~~~agrB_2~~~agrB_3",7.17165e-19
"agrA~~~dpiBcatD",4.91182e-10
"agrA~~~dpiBebh_8~~~ebh_7~~~ebhA~~~ebh_1~~~ebh_2~~~ebh_6~~~ebh_3~~~ebh_5~~~ebhA_1~~~ebh~~~ebhA_2~~~ebh_4",4.05974e-11
"agrA~~~dpiBfhuD_2~~~yfmC_3~~~fhuD_3~~~yfmC_4~~~fhuD_1~~~yfmC_2",8.29085e-11
"agrA~~~dpiBgltR_1~~~yofA~~~gltR_2",2.84887e-09
"agrA~~~dpiBgltR~~~gltR_1~~~gltR_2~~~yofA~~~yofA_1",4.08025e-12
"agrA~~~dpiBgroup_1245",5.56253e-09
"agrA~~~dpiBgroup_1256",2.92461e-09
"agrA~~~dpiBgroup_1275",3.61311e-14
"agrA~~~dpiBgroup_1279",2.54359e-12
"agrA~~~dpiBgroup_1290",3.75645e-12
"agrA~~~dpiBgroup_1396",8.885e-08
"agrA~~~dpiBgroup_1645",5.94663e-11
"agrA~~~dpiBgroup_1815",7.27381e-12
"agrA~~~dpiBgroup_1837",5.17461e-08
"agrA~~~dpiBgroup_1994",9.00016e-11
"agrA~~~dpiBgroup_204",6.54686e-10
"agrA~~~dpiBgroup_2085",5.48981e-08
"agrA~~~dpiBgroup_2146",4.08025e-12
"agrA~~~dpiBgroup_2163",4.97244e-12
"agrA~~~dpiBgroup_2167",1.20569e-09
"agrA~~~dpiBgroup_2188",1.07345e-16
"agrA~~~dpiBgroup_2251",-1.28536e-10
"agrA~~~dpiBgroup_2284",1.40145e-10
"agrA~~~dpiBgroup_2366",1.20101e-11
"agrA~~~dpiBgroup_241",1.21925e-09
"agrA~~~dpiBgroup_2424",6.1003e-10
"agrA~~~dpiBgroup_2444",1.36558e-14
"agrA~~~dpiBgroup_2524",1.35141e-11
"agrA~~~dpiBgroup_2607",6.24295e-32
"agrA~~~dpiBgroup_331",5.08079e-11
"agrA~~~dpiBgroup_440",7.17433e-12
"agrA~~~dpiBgroup_464",2.9255e-12
"agrA~~~dpiBgroup_515",4.53552e-08
"agrA~~~dpiBgroup_54",6.49307e-09
"agrA~~~dpiBgroup_720",7.73741e-09
"agrA~~~dpiBgroup_743",4.07168e-10
"agrA~~~dpiBgroup_89",1.28063e-08
"agrA~~~dpiBgroup_938",8.70884e-09
"agrA~~~dpiBmvaA~~~mvaA_1~~~mvaA_2",8.37998e-11
"agrA~~~dpiBrnhA",4.45939e-12
"agrA~~~dpiBspeC~~~speC_2~~~speC_1~~~tst_2~~~speC_3",9.54023e-11
"agrA~~~dpiBtagE_3~~~gtf1_2~~~tagE_1~~~tagE_4~~~tagE_2",6.23689e-12
"agrA~~~dpiBxecD~~~bacC_2~~~bacC",3.19178e-09
"agrA~~~dpiBxerC_1~~~xerC_4~~~xerC_6~~~xerC_3~~~xerC_2~~~xerC_5",1.00321e-07
"agrA~~~dpiBydaG~~~ydaG_1~~~ydaG_2",3.25459e-09
"agrA~~~dpiBydhC~~~ymfD",2.35263e-19
"agrA~~~dpiByezG_7~~~yezG_8~~~yezG_2~~~yezG_6~~~yezG_5~~~yezG_3~~~yezG_10~~~yezG_1~~~yezG_4~~~yezG~~~yezG_9",1.25898e-08
"agrA~~~dpiBywqN_2~~~ywqN_1~~~ywqN_3",1.72263e-12
"agrA~~~dpiBzitR~~~sarZ_2~~~sarZ_1",2.79921e-19
"agrB_2~~~agrB_1~~~agrBagrB~~~agrB_1~~~agrB_2~~~agrB_3",-4.65727e-11
"agrB_2~~~agrB_1~~~agrBbacC~~~xecD~~~bacC_2~~~bacC_1~~~lvr~~~dhbA",1.16121e-08
"agrB_2~~~agrB_1~~~agrBcls_1~~~cls_2~~~clsA~~~cls_3",8.80587e-08
"agrB_2~~~agrB_1~~~agrBebh_3~~~ebh_2~~~ebh_1~~~ebh_5~~~ebh_4~~~ebhA~~~ebhA_1~~~ebh_6~~~ebhA_3~~~ebhA_2~~~ebh_7",6.48721e-09
"agrB_2~~~agrB_1~~~agrBentS",3.26083e-18
"agrB_2~~~agrB_1~~~agrBfetA_2~~~fetA_1~~~fetA~~~mlaF",2.87205e-14
"agrB_2~~~agrB_1~~~agrBflA~~~salL_2~~~salL~~~salL_1",2.00593e-09
"agrB_2~~~agrB_1~~~agrBgroup_1106",1.5117e-14
"agrB_2~~~agrB_1~~~agrBgroup_1130",5.08502e-08
"agrB_2~~~agrB_1~~~agrBgroup_1231",3.65001e-12
"agrB_2~~~agrB_1~~~agrBgroup_124",1.3266e-12
"agrB_2~~~agrB_1~~~agrBgroup_1377",9.66931e-11
"agrB_2~~~agrB_1~~~agrBgroup_1383",2.11964e-12
"agrB_2~~~agrB_1~~~agrBgroup_1387",2.09082e-08
"agrB_2~~~agrB_1~~~agrBgroup_1461",4.67788e-08
"agrB_2~~~agrB_1~~~agrBgroup_1597",5.70862e-12
"agrB_2~~~agrB_1~~~agrBgroup_1636",1.22952e-09
"agrB_2~~~agrB_1~~~agrBgroup_1769",6.86816e-16
"agrB_2~~~agrB_1~~~agrBgroup_1841",3.35915e-11
"agrB_2~~~agrB_1~~~agrBgroup_1882",9.81503e-13
"agrB_2~~~agrB_1~~~agrBgroup_1978",7.95526e-19
"agrB_2~~~agrB_1~~~agrBgroup_1984",5.93126e-15
"agrB_2~~~agrB_1~~~agrBgroup_199",1.29753e-10
"agrB_2~~~agrB_1~~~agrBgroup_1996",9.81503e-13
"agrB_2~~~agrB_1~~~agrBgroup_2043",2.14016e-11
"agrB_2~~~agrB_1~~~agrBgroup_2089",2.68249e-12
"agrB_2~~~agrB_1~~~agrBgroup_2187",1.1785e-15
"agrB_2~~~agrB_1~~~agrBgroup_2205",9.81503e-13
"agrB_2~~~agrB_1~~~agrBgroup_2215",1.76442e-10
"agrB_2~~~agrB_1~~~agrBgroup_2251",1.26107e-18
"agrB_2~~~agrB_1~~~agrBgroup_2264",2.02814e-09
"agrB_2~~~agrB_1~~~agrBgroup_2276",3.47294e-09
"agrB_2~~~agrB_1~~~agrBgroup_2300",3.97583e-13
"agrB_2~~~agrB_1~~~agrBgroup_2353",1.11141e-29
"agrB_2~~~agrB_1~~~agrBgroup_240",5.82836e-13
"agrB_2~~~agrB_1~~~agrBgroup_2444",-3.29385e-10
"agrB_2~~~agrB_1~~~agrBgroup_2550",1.37119e-11
"agrB_2~~~agrB_1~~~agrBgroup_352",1.90715e-12
"agrB_2~~~agrB_1~~~agrBgroup_443",1.1569e-09
"agrB_2~~~agrB_1~~~agrBgroup_518",9.81503e-13
"agrB_2~~~agrB_1~~~agrBgroup_530",1.44458e-11
"agrB_2~~~agrB_1~~~agrBgroup_548",4.25272e-08
"agrB_2~~~agrB_1~~~agrBgroup_564",1.09243e-12
"agrB_2~~~agrB_1~~~agrBgroup_611",1.2307e-10
"agrB_2~~~agrB_1~~~agrBgroup_630",2.6294e-16
"agrB_2~~~agrB_1~~~agrBgroup_665",8.94268e-13
"agrB_2~~~agrB_1~~~agrBgroup_670",1.66424e-09
"agrB_2~~~agrB_1~~~agrBgroup_727",4.27688e-10
"agrB_2~~~agrB_1~~~agrBgroup_922",6.0438e-08
"agrB_2~~~agrB_1~~~agrBlpl2_4~~~lpl2_1~~~lpl2_6~~~lpl2_7~~~lpl2_2~~~lpl2_5~~~lpl2_3~~~lpl2_10~~~lpl2_11~~~lpl2_8",2.58562e-13
"agrB_2~~~agrB_1~~~agrBlpl2_4~~~lpl2_2~~~lpl2_3~~~lpl2_6~~~lpl2_5~~~lpl2_8~~~lpl2_9",6.40594e-10
"agrB_2~~~agrB_1~~~agrBlpl2_7",5.30662e-16
"agrB_2~~~agrB_1~~~agrBmacB~~~macB_2~~~macB_1",5.82836e-13
"agrB_2~~~agrB_1~~~agrBmecI~~~mecI_1~~~mecI_2",2.73356e-08
"agrB_2~~~agrB_1~~~agrBmvaA_1~~~mvaA~~~mvaA_2",1.64144e-08
"agrB_2~~~agrB_1~~~agrBnatA_1~~~rbsA~~~natA_4~~~opuBA_1~~~natA_2",9.81503e-13
"agrB_2~~~agrB_1~~~agrBnatA_3",6.29664e-13
"agrB_2~~~agrB_1~~~agrBspeC_3~~~speC~~~speC_1~~~speC_2",1.79209e-12
"agrB_2~~~agrB_1~~~agrBsplE_1~~~splE_2~~~splF~~~splD_2~~~splE~~~splF_1~~~splD~~~splF_2",6.9616e-11
"agrB_2~~~agrB_1~~~agrBsplF_1~~~splD~~~splF~~~splE_2~~~splB_2~~~splE_3~~~splE_1~~~splB_1~~~splE~~~splF_2~~~splD_1~~~splD_2",3.7411e-09
"agrB_2~~~agrB_1~~~agrBydaG~~~ydaG_2",6.21935e-14
"agrB_2~~~agrB_1~~~agrBydhC~~~ymfD",-1.63451e-09
"agrB_2~~~agrB_1~~~agrByezG_1~~~yezG_8~~~yezG_2~~~yezG_3~~~yezG_7~~~yezG_6~~~yezG_4~~~yezG_5~~~yezG~~~yezG_9",7.55117e-09
"agrB_2~~~agrB_1~~~agrByezG_2~~~yezG_8~~~yezG_7~~~yezG_12~~~yezG_6~~~yezG_5~~~yezG_3~~~yezG_4~~~yezG_9~~~yezG_1~~~yezG_10",1.06028e-14
"agrB_2~~~agrB_1~~~agrByezG_5~~~yezG_2~~~yezG_7~~~yezG_4~~~yezG_9~~~yezG_1~~~yezG_6~~~yezG_3~~~yezG_8~~~yezG~~~yezG_11",1.06777e-08
"agrB_2~~~agrB_1~~~agrByknY~~~yknY_1~~~yknY_2~~~macB_1",5.82836e-13
"agrB_2~~~agrB_1~~~agrBykoC_2~~~ykoC_1~~~ykoC~~~ecfT_1~~~ecfT_2",3.47294e-09
"agrB_2~~~agrB_1~~~agrBykoD_2~~~ecfA3~~~ecfA1_1~~~ykoD_1~~~ecfA1_2~~~ykoD_3",2.65641e-09
"agrB_2~~~agrB_1~~~agrBzitR~~~sarZ_2~~~sarZ_1",-5.64833e-09
"agrB_2~~~agrB~~~agrB_1azo1~~~azo1_1~~~azo1_2",-4.05725e-10
"agrB_2~~~agrB~~~agrB_1group_1238",-4.05725e-10
"agrB_2~~~agrB~~~agrB_1ktrB_2~~~ktrB_3~~~ktrB_1~~~ktrB",-9.61225e-11
"agrB_2~~~agrB~~~agrB_1yefM",-4.40913e-09
"agrB~~~agrB_1~~~agrB_2~~~agrB_3epiD~~~epiD_1",1.30522e-09
"agrB~~~agrB_1~~~agrB_2~~~agrB_3fhuD_2~~~yfmC_3~~~fhuD_3~~~yfmC_4~~~fhuD_1~~~yfmC_2",5.28794e-19
"agrB~~~agrB_1~~~agrB_2~~~agrB_3ftsK_1",4.81867e-09
"agrB~~~agrB_1~~~agrB_2~~~agrB_3ftsK_3~~~ftsK_5~~~ftsK_1~~~ftsK_2",1.90577e-09
"agrB~~~agrB_1~~~agrB_2~~~agrB_3gdmA_1~~~gdmA~~~gdmA_2",3.6705e-09
"agrB~~~agrB_1~~~agrB_2~~~agrB_3gltR_1~~~yofA~~~gltR_2",2.11238e-14
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_0",3.65285e-08
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_1011",1.94211e-10
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_1017",2.89568e-10
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_1072",2.84055e-10
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_1073",5.70337e-10
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_1211",2.22659e-11
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_1245",5.39012e-17
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_1256",1.04954e-16
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_1279",5.11139e-12
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_1290",7.19075e-19
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_1396",3.86009e-15
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_1547",2.89323e-11
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_1645",5.7213e-16
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_1651",4.49629e-11
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_1815",2.3821e-10
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_1837",2.40902e-08
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_1994",1.40892e-17
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_2163",4.09942e-19
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_2181",2.2818e-08
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_2188",2.64312e-11
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_2249",6.00112e-10
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_225",4.53832e-10
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_226",3.16667e-11
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_2284",6.6218e-18
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_2300",-7.50112e-10
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_2318",2.66826e-11
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_2366",6.60148e-20
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_2424",4.76788e-18
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_2444",1.645e-10
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_2464",2.50003e-13
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_2465",4.17871e-10
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_2607",6.96074e-19
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_2643",4.42393e-08
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_414",9.28002e-13
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_440",2.16451e-18
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_464",1.23501e-11
"agrB~~~agrB_1~~~agrB_2~~~agrB_3group_465",1.16258e-08
