"","Name","Count","Type"
"1","aphA",22,"abr"
"2","atl_lytN",1,"other"
"3","bbp_clfA_clfB_sdrC_sdrD_sdrE",1,"vir"
"4","bbp_clfB_sdrC_sdrD_sdrE_sdrF_sdrI",3,"vir"
"5","bbp_sdrD_sdrE",2,"vir"
"6","bcgIA_hsdM",1,"vir"
"7","bcgIA_hsdM_prmC",1,"vir"
"8","bglF_glcB_ptsG",2,"other"
"9","bin3",5,"mge"
"10","cadC",4,"metal"
"11","chp",4,"vir"
"12","clfA_clfB",1,"vir"
"13","clfA_sdrD",1,"vir"
"14","clfB",27,"vir"
"15","clpP_clpP1",1,"vir"
"16","clpP1",9,"vir"
"17","copB",3,"metal"
"18","dinG_dnaQ_polC",4,"other"
"19","dnaC",6,"other"
"20","dut",3,"other"
"21","ettA_uup_ybiT",2,"other"
"22","gloC_glpE",3,"other"
"23","glpQ_ugpQ",3,"sccmec"
"24","hin_tnpR",2,"mge"
"25","hlgC_lukS",2,"vir"
"26","hsdM",3,"mge"
"27","hsdR_mecR1",2,"sccmec"
"28","leuD",9,"vir"
"29","lss_lytN",4,"other"
"30","lss_mepM_smc",1,"other"
"31","mta_tipA",1,"abr"
"32","ohrR",2,"other"
"33","paaZ",3,"sccmec"
"34","pbp",3,"sccmec"
"35","pls_sasG",3,"vir"
"36","pre",6,"mge"
"37","racA",1,"other"
"38","recF_smc",4,"other"
"39","repD_repE_repN",3,"mge"
"40","sak",1,"vir"
"41","sasG",2,"vir"
"42","speG",2,"vir"
"43","sraP",2,"vir"
"44","wecD",21,"vir"
"45","xis",1,"vir"
"46","ypeA",1,"other"
