"Trait1","Trait2","PositiveAssociation","NegativeAssociation","Score","UnweightedPositive","UnweightedNegative","pair","dist","score"
"sak","lss_mepM_smc",81.5772362914364,1.83702890745144,81.5772362914364,815,6,"saklss_mepM_smc",5,81.5772362914364
"bbp_clfB_sdrC_sdrD_sdrE_sdrF_sdrI","bbp_clfA_clfB_sdrC_sdrD_sdrE",68.3575316530776,14.5771573087183,68.3575316530776,498,165,"bbp_clfB_sdrC_sdrD_sdrE_sdrF_sdrIbbp_clfA_clfB_sdrC_sdrD_sdrE",1,68.3575316530776
"sak","chp",64.9727513384895,2.50784547351449,64.9727513384895,744,22,"sakchp",2,64.9727513384895
"sak","recF_smc",70.5685655636852,0.927335322048376,70.5685655636852,703,26,"sakrecF_smc",12,70.5685655636852
"bbp_clfB_sdrC_sdrD_sdrE_sdrF_sdrI","sdrC_sdrD_sdrE",7.63424977752394,71.1765175640866,71.1765175640866,68,772,"bbp_clfB_sdrC_sdrD_sdrE_sdrF_sdrIsdrC_sdrD_sdrE",2,-71.1765175640866
"bbp_clfB_sdrC_sdrD_sdrE_sdrF_sdrI","bbp_sdrD_sdrE",3.97335329599479,81.2862288428998,81.2862288428998,77,579,"bbp_clfB_sdrC_sdrD_sdrE_sdrF_sdrIbbp_sdrD_sdrE",2,-81.2862288428998
"lss_mepM_smc","chp",64.4329643943411,5.02762683629195,64.4329643943411,821,15,"lss_mepM_smcchp",4,64.4329643943411
"bbp_clfA_clfB_sdrC_sdrD_sdrE","bbp_sdrD_sdrE",9.45379812172709,70.4930675036154,70.4930675036154,85,611,"bbp_clfA_clfB_sdrC_sdrD_sdrEbbp_sdrD_sdrE",2,-70.4930675036154
"pbp","paaZ",94.1217503226496,0.00301810865191147,94.1217503226496,1199,3,"pbppaaZ",5,94.1217503226496
"pbp","glpQ_ugpQ",93.6071966959254,0.00301810865191147,93.6071966959254,1224,3,"pbpglpQ_ugpQ",5,93.6071966959254
"pbp","hsdR_mecR1",79.3849121101309,0.511066398390342,79.3849121101309,863,12,"pbphsdR_mecR1",3,79.3849121101309
"pbp","hin_tnpR",86.0295377169499,0.0164282544354018,86.0295377169499,840,17,"pbphin_tnpR",9,86.0295377169499
"paaZ","glpQ_ugpQ",101.11381846717,0,101.11381846717,1539,0,"paaZglpQ_ugpQ",1,101.11381846717
"paaZ","hsdR_mecR1",82.8399474443149,0.0120724346076459,82.8399474443149,942,12,"paaZhsdR_mecR1",2,82.8399474443149
"paaZ","hin_tnpR",72.7928506329184,2.21159928059234,72.7928506329184,769,215,"paaZhin_tnpR",8,72.7928506329184
"glpQ_ugpQ","hsdR_mecR1",82.3099747035801,0.0191146881287726,82.3099747035801,951,19,"glpQ_ugpQhsdR_mecR1",3,82.3099747035801
"glpQ_ugpQ","hin_tnpR",72.2507434995,2.21964757033077,72.2507434995,769,223,"glpQ_ugpQhin_tnpR",9,72.2507434995
"blaI","cadC",74.2618274697231,1.80226042438769,74.2618274697231,609,104,"blaIcadC",9,74.2618274697231
"blaI","blaZ",79.158886003756,0.00168350168350168,79.158886003756,749,1,"blaIblaZ",10,79.158886003756
"blaI","blaR1",95.573702173502,0.00140646976090014,95.573702173502,1116,1,"blaIblaR1",3,95.573702173502
"chp","recF_smc",72.6772036954627,11.193033337615,72.6772036954627,722,115,"chprecF_smc",10,72.6772036954627
"hsdR_mecR1","hin_tnpR",83.4044064054166,0.507373928479667,83.4044064054166,929,9,"hsdR_mecR1hin_tnpR",8,83.4044064054166
"cadC","blaZ",64.7713357489943,4.1551325789856,64.7713357489943,502,59,"cadCblaZ",14,64.7713357489943
"cadC","lolD_macB_thiQ_yknY",92.124123023973,0.0281391189738081,92.124123023973,742,21,"cadClolD_macB_thiQ_yknY",8,92.124123023973
"cadC","blaR1",76.766354139609,1.80358949880888,76.766354139609,617,106,"cadCblaR1",6,76.766354139609
"cadC","ohrR",109.991097096161,0.505050505050505,109.991097096161,915,4,"cadCohrR",4,109.991097096161
"cadC","pre",88.2293935263695,18.3273877130762,88.2293935263695,746,236,"cadCpre",8,88.2293935263695
"cadC","repE",83.02683982835,1.3576937909261,83.02683982835,675,23,"cadCrepE",7,83.02683982835
"cadC","racA",84.9945380176031,0.50983193557451,84.9945380176031,755,7,"cadCracA",5,84.9945380176031
"cadC","cadA",68.5771936266071,2.01472845694859,68.5771936266071,564,16,"cadCcadA",6,68.5771936266071
"cadC","bin3",127.797289239852,4.01358700591722,127.797289239852,1205,15,"cadCbin3",7,127.797289239852
"cadC","copB",82.2617954601792,5.85966576076254,82.2617954601792,744,202,"cadCcopB",15,82.2617954601792
"blaZ","blaR1",81.16039456499,0.336423304777735,81.16039456499,751,3,"blaZblaR1",11,81.16039456499
"bcgIA_hsdM_prmC","bcgIA_hsdM",8.16936606426267,63.5178642119108,63.5178642119108,116,505,"bcgIA_hsdM_prmCbcgIA_hsdM",2,-63.5178642119108
"lolD_macB_thiQ_yknY","ohrR",69.416508408932,6.41354629435216,69.416508408932,535,94,"lolD_macB_thiQ_yknYohrR",5,69.416508408932
"lolD_macB_thiQ_yknY","pre",96.9182754801404,2.64280422080932,96.9182754801404,798,30,"lolD_macB_thiQ_yknYpre",1,96.9182754801404
"lolD_macB_thiQ_yknY","repE",103.234951110295,0.00140646976090014,103.234951110295,835,1,"lolD_macB_thiQ_yknYrepE",2,103.234951110295
"lolD_macB_thiQ_yknY","racA",69.139717541703,5.32424763854655,69.139717541703,584,35,"lolD_macB_thiQ_yknYracA",3,69.139717541703
"lolD_macB_thiQ_yknY","cadA",62.0538074436874,2.13893590063232,62.0538074436874,555,12,"lolD_macB_thiQ_yknYcadA",10,62.0538074436874
"lolD_macB_thiQ_yknY","bin3",84.7200450021406,3.0230209155232,84.7200450021406,890,28,"lolD_macB_thiQ_yknYbin3",3,84.7200450021406
"ohrR","pre",65.9887863825107,23.0018829125939,65.9887863825107,530,189,"ohrRpre",6,65.9887863825107
"ohrR","repE",70.7719167841187,2.59275504856091,70.7719167841187,557,37,"ohrRrepE",5,70.7719167841187
"ohrR","racA",70.9692221395835,15.0827193382808,70.9692221395835,688,106,"ohrRracA",4,70.9692221395835
"ohrR","bin3",100.400656838464,2.61307789061938,100.400656838464,871,26,"ohrRbin3",3,100.400656838464
"ohrR","copB",91.7269179997548,2.59120634031202,91.7269179997548,701,54,"ohrRcopB",13,91.7269179997548
