"sample_id","cc"
6369,"CC93"
6370,"CC93"
6371,"CC93"
6372,"CC93"
6373,"CC93"
6374,"CC93"
6375,"CC93"
6376,"CC93"
6377,"CC93"
6378,"CC93"
6379,"CC93"
6380,"CC93"
6381,"CC93"
6382,"CC93"
6383,"CC93"
6384,"CC93"
6385,"CC93"
6386,"CC93"
6387,"CC93"
6388,"CC93"
6389,"CC93"
6390,"CC93"
6391,"CC93"
6392,"CC93"
6393,"CC93"
6394,"CC93"
6395,"CC93"
6396,"CC93"
6398,"CC93"
6399,"CC93"
6400,"CC93"
6401,"CC93"
6402,"CC93"
6403,"CC93"
6404,"CC93"
6405,"CC93"
6407,"CC93"
6408,"CC93"
6409,"CC93"
6410,"CC93"
6411,"CC93"
6412,"CC93"
6413,"CC93"
6415,"CC93"
6416,"CC93"
6417,"CC93"
6418,"CC93"
6419,"CC93"
6420,"CC93"
6421,"CC93"
6422,"CC93"
6423,"CC93"
6424,"CC93"
6425,"CC93"
6426,"CC93"
6427,"CC93"
6428,"CC93"
6429,"CC93"
6430,"CC93"
6450,"CC93"
6451,"CC93"
6452,"CC93"
6453,"CC93"
6454,"CC93"
6455,"CC93"
6456,"CC93"
6457,"CC93"
6458,"CC93"
6459,"CC93"
6460,"CC93"
6462,"CC93"
6463,"CC93"
6464,"CC93"
6465,"CC93"
6466,"CC93"
6467,"CC93"
6468,"CC93"
6469,"CC93"
6470,"CC93"
6471,"CC93"
6472,"CC93"
6473,"CC93"
6475,"CC93"
6477,"CC93"
6478,"CC93"
6479,"CC93"
6480,"CC93"
6481,"CC93"
6482,"CC93"
6758,"CC93"
6759,"CC93"
6760,"CC93"
6761,"CC93"
6762,"CC93"
6763,"CC93"
6764,"CC93"
6765,"CC93"
6767,"CC93"
6768,"CC93"
6769,"CC93"
7081,"CC93"
7082,"CC93"
7083,"CC93"
7084,"CC93"
7085,"CC93"
7086,"CC93"
9064,"CC93"
9152,"CC93"
9277,"CC93"
9308,"CC93"
9328,"CC93"
10614,"CC93"
10615,"CC93"
10616,"CC93"
12714,"CC93"
12715,"CC93"
12716,"CC93"
12717,"CC93"
12718,"CC93"
12719,"CC93"
12720,"CC93"
12721,"CC93"
12724,"CC93"
12725,"CC93"
12726,"CC93"
12727,"CC93"
12728,"CC93"
12729,"CC93"
12730,"CC93"
12731,"CC93"
12732,"CC93"
12733,"CC93"
12734,"CC93"
12735,"CC93"
12736,"CC93"
12737,"CC93"
12739,"CC93"
13397,"CC93"
13398,"CC93"
13404,"CC93"
13405,"CC93"
13406,"CC93"
13407,"CC93"
13408,"CC93"
13409,"CC93"
13410,"CC93"
13411,"CC93"
13413,"CC93"
13414,"CC93"
13415,"CC93"
13416,"CC93"
13417,"CC93"
13418,"CC93"
14388,"CC93"
14389,"CC93"
14390,"CC93"
14391,"CC93"
14392,"CC93"
14393,"CC93"
14394,"CC93"
14395,"CC93"
14396,"CC93"
14397,"CC93"
14398,"CC93"
14399,"CC93"
14401,"CC93"
14402,"CC93"
14403,"CC93"
14404,"CC93"
14406,"CC93"
14407,"CC93"
14408,"CC93"
14409,"CC93"
14410,"CC93"
14554,"CC93"
14555,"CC93"
14556,"CC93"
14557,"CC93"
14558,"CC93"
14559,"CC93"
14560,"CC93"
15862,"CC93"
16229,"CC93"
17442,"CC93"
17443,"CC93"
17444,"CC93"
17445,"CC93"
17446,"CC93"
17447,"CC93"
17621,"CC93"
17622,"CC93"
17983,"CC93"
17984,"CC93"
17985,"CC93"
17986,"CC93"
17987,"CC93"
17988,"CC93"
17989,"CC93"
17990,"CC93"
17991,"CC93"
17993,"CC93"
17994,"CC93"
17996,"CC93"
17997,"CC93"
17998,"CC93"
17999,"CC93"
18000,"CC93"
18001,"CC93"
18002,"CC93"
18003,"CC93"
18004,"CC93"
18005,"CC93"
18006,"CC93"
18007,"CC93"
18008,"CC93"
18009,"CC93"
18010,"CC93"
18011,"CC93"
18012,"CC93"
18013,"CC93"
18014,"CC93"
18015,"CC93"
18016,"CC93"
18017,"CC93"
18018,"CC93"
18019,"CC93"
18020,"CC93"
18021,"CC93"
18022,"CC93"
18023,"CC93"
18025,"CC93"
18026,"CC93"
18027,"CC93"
18427,"CC93"
18428,"CC93"
18429,"CC93"
18430,"CC93"
18431,"CC93"
18441,"CC93"
18443,"CC93"
18444,"CC93"
18445,"CC93"
18446,"CC93"
18447,"CC93"
18489,"CC93"
18490,"CC93"
18491,"CC93"
18492,"CC93"
18493,"CC93"
18494,"CC93"
18495,"CC93"
18518,"CC93"
18519,"CC93"
19812,"CC93"
19816,"CC93"
19822,"CC93"
19832,"CC93"
19837,"CC93"
19838,"CC93"
19845,"CC93"
19848,"CC93"
19866,"CC93"
19877,"CC93"
19881,"CC93"
19887,"CC93"
19898,"CC93"
19905,"CC93"
19909,"CC93"
19911,"CC93"
19917,"CC93"
19918,"CC93"
19925,"CC93"
19938,"CC93"
19943,"CC93"
