"st","sample_id","name","clonal_complex"
1,189,"ERX062426","CC1"
1,192,"ERX062429","CC1"
1,242,"ERX063166","CC1"
1,300,"ERX094729","CC1"
1,301,"ERX094730","CC1"
1,695,"ERX120741","CC1"
1,714,"ERX120762","CC1"
1,819,"ERX132366","CC1"
1,998,"ERX1492906","CC1"
1,1150,"ERX152038","CC1"
1,1348,"ERX186351","CC1"
1,1375,"ERX186572","CC1"
1,1385,"ERX186583","CC1"
1,1399,"ERX186602","CC1"
1,1415,"ERX186619","CC1"
1,1545,"ERX209356","CC1"
1,1632,"ERX212147","CC1"
1,1646,"ERX212164","CC1"
1,1698,"ERX221178","CC1"
1,1699,"ERX221180","CC1"
1,1865,"ERX276051","CC1"
1,1884,"ERX276072","CC1"
1,2780,"ERX470725","CC1"
1,2790,"ERX470735","CC1"
1,3136,"ERX551560","CC1"
1,3138,"ERX551562","CC1"
1,3160,"ERX551586","CC1"
1,3331,"ERX552189","CC1"
1,3414,"ERX556641","CC1"
1,3416,"ERX556643","CC1"
1,3417,"ERX556644","CC1"
1,3418,"ERX556645","CC1"
1,3419,"ERX556646","CC1"
1,3440,"ERX556672","CC1"
1,3506,"ERX556740","CC1"
1,3562,"ERX556798","CC1"
1,3563,"ERX556800","CC1"
1,4025,"SRX1051328","CC1"
1,4042,"SRX1051347","CC1"
1,4053,"SRX1051361","CC1"
1,4060,"SRX1051368","CC1"
1,4112,"SRX1051423","CC1"
1,4115,"SRX1051426","CC1"
1,4209,"SRX1051527","CC1"
1,4226,"SRX1051545","CC1"
1,4229,"SRX1051548","CC1"
1,4232,"SRX1051551","CC1"
1,4859,"ERX047894","CC1"
1,4951,"ERX087010","CC1"
1,4954,"ERX087015","CC1"
1,4999,"ERX087097","CC1"
1,5021,"ERX095274","CC1"
1,5119,"ERX1027951","CC1"
1,5229,"ERX1043636","CC1"
1,5255,"ERX1043689","CC1"
1,5270,"ERX1043713","CC1"
1,5316,"ERX110423","CC1"
1,5424,"ERX1114519","CC1"
1,5457,"ERX1114568","CC1"
1,5504,"ERX1120401","CC1"
1,5715,"ERX1222227","CC1"
1,5748,"ERX1222301","CC1"
1,5763,"ERX1273534","CC1"
1,5765,"ERX1284823","CC1"
1,6226,"ERX1414326","CC1"
1,6238,"ERX147968","CC1"
1,6256,"ERX147991","CC1"
1,6363,"ERX154964","CC1"
1,6502,"ERX178849","CC1"
1,6541,"ERX178894","CC1"
1,6579,"ERX187425","CC1"
1,6590,"ERX187467","CC1"
1,6619,"ERX187525","CC1"
1,6676,"ERX187590","CC1"
1,6678,"ERX187592","CC1"
1,6685,"ERX187602","CC1"
1,6686,"ERX187603","CC1"
1,6688,"ERX187605","CC1"
1,6714,"ERX187669","CC1"
1,6724,"ERX187684","CC1"
1,7589,"ERX336951","CC1"
1,7597,"ERX336967","CC1"
1,7748,"ERX385073","CC1"
1,7755,"ERX385087","CC1"
1,7761,"ERX385094","CC1"
1,7785,"ERX385121","CC1"
1,7851,"ERX385287","CC1"
1,7852,"ERX385288","CC1"
1,7885,"ERX385336","CC1"
1,7894,"ERX385349","CC1"
1,7897,"ERX385354","CC1"
1,7922,"ERX385403","CC1"
1,7925,"ERX385410","CC1"
1,7987,"ERX385497","CC1"
1,7995,"ERX385506","CC1"
1,8010,"ERX385523","CC1"
1,8714,"ERX492431","CC1"
1,8812,"ERX505351","CC1"
1,8838,"ERX505401","CC1"
1,8892,"ERX505963","CC1"
1,8972,"ERX513163","CC1"
1,9014,"ERX513249","CC1"
1,9040,"ERX513288","CC1"
1,9170,"ERX513523","CC1"
1,9270,"ERX514122","CC1"
1,9330,"ERX531939","CC1"
1,9339,"ERX531951","CC1"
1,9453,"ERX532092","CC1"
1,9476,"ERX532117","CC1"
1,9478,"ERX532119","CC1"
1,9512,"ERX551119","CC1"
1,9522,"ERX551554","CC1"
1,9566,"ERX594395","CC1"
1,9567,"ERX594398","CC1"
1,9568,"ERX594399","CC1"
1,9569,"ERX594400","CC1"
1,9570,"ERX594401","CC1"
1,9571,"ERX594404","CC1"
1,9572,"ERX594406","CC1"
1,9618,"ERX652676","CC1"
1,9648,"ERX659150","CC1"
1,9660,"ERX659178","CC1"
1,9678,"ERX659199","CC1"
1,9727,"ERX680943","CC1"
1,9785,"ERX681099","CC1"
1,9824,"ERX681157","CC1"
1,9852,"ERX681281","CC1"
1,9866,"ERX681311","CC1"
1,10030,"ERX949982","CC1"
1,10059,"ERX950039","CC1"
1,10277,"SRX1741301","CC1"
1,10317,"SRX282512","CC1"
1,10318,"SRX282513","CC1"
1,10362,"SRX366333","CC1"
1,10641,"SRX477031","CC1"
1,11489,"ERX092303","CC1"
1,11495,"ERX092312","CC1"
1,11497,"ERX092314","CC1"
1,11647,"ERX1043691","CC1"
1,11661,"ERX1043725","CC1"
1,11687,"ERX1048141","CC1"
1,11748,"ERX1086757","CC1"
1,11944,"ERX1114539","CC1"
1,12188,"ERX1268897","CC1"
1,12191,"ERX1268906","CC1"
1,12239,"ERX1269070","CC1"
1,12354,"ERX1269268","CC1"
1,12361,"ERX1269276","CC1"
1,12363,"ERX1269278","CC1"
1,12365,"ERX1269447","CC1"
1,12405,"ERX1269491","CC1"
1,12460,"ERX1269744","CC1"
1,12485,"ERX1273533","CC1"
1,12486,"ERX1273535","CC1"
1,12487,"ERX1273536","CC1"
1,12488,"ERX1273537","CC1"
1,12667,"ERX1583748","CC1"
1,12669,"ERX1583751","CC1"
1,12670,"ERX1583752","CC1"
1,12671,"ERX1583753","CC1"
1,12672,"ERX1583754","CC1"
1,12673,"ERX1583755","CC1"
1,12675,"ERX1583757","CC1"
1,12676,"ERX1583758","CC1"
1,12691,"ERX1583779","CC1"
1,12756,"ERX1628256","CC1"
1,12812,"ERX1628318","CC1"
1,12887,"ERX1657243","CC1"
1,12904,"ERX1657274","CC1"
1,12908,"ERX1657278","CC1"
1,12919,"ERX1657302","CC1"
1,12933,"ERX1657342","CC1"
1,12975,"ERX1666246","CC1"
1,12982,"ERX1666253","CC1"
1,13013,"ERX1666295","CC1"
1,13045,"ERX1666339","CC1"
